timestamp,temp,press,co2,h2o
2026-07-16T13:09:07.488012,5.14736e1,9.98764e1,4.41203e2,1.05314e1
2026-07-16T13:09:07.854921,5.14736e1,9.98792e1,4.40910e2,1.05259e1
2026-07-16T13:09:08.353085,5.14736e1,9.98795e1,4.41368e2,1.05291e1
2026-07-16T13:09:08.853641,5.14736e1,9.98744e1,4.41707e2,1.05235e1
2026-07-16T13:09:09.353135,5.14736e1,9.98795e1,4.41435e2,1.05197e1
2026-07-16T13:09:09.853108,5.14703e1,9.98775e1,4.40997e2,1.05262e1
2026-07-16T13:09:10.353122,5.14736e1,9.98777e1,4.41391e2,1.05285e1
2026-07-16T13:09:10.853113,5.14769e1,9.98785e1,4.41495e2,1.05313e1
2026-07-16T13:09:11.353259,5.14769e1,9.98777e1,4.41376e2,1.05275e1
2026-07-16T13:09:11.853020,5.14802e1,9.98832e1,4.41478e2,1.05277e1
2026-07-16T13:09:12.353169,5.14769e1,9.98734e1,4.41388e2,1.05190e1
