X,Y
3999.704,1730998733.0 s
3997.776,1730998733.0 s
3995.847,1730998733.0 s
3993.919,1730998733.0 s
3991.99,1730998733.0 s
3990.062,1730998733.0 s
3988.133,1730998733.0 s
3986.205,1730998733.0 s
3984.276,1730998733.0 s
3982.348,1730998733.0 s
3980.419,1730998733.0 s
3978.491,1730998733.0 s
3976.562,1730998733.0 s
3974.634,1730998733.0 s
3972.705,1730998733.0 s
3970.777,1730998733.0 s
3968.848,1730998733.0 s
3966.92,1730998733.0 s
3964.991,1730998733.0 s
3963.063,1730998733.0 s
3961.134,1730998733.0 s
3959.206,1730998733.0 s
3957.277,1730998733.0 s
3955.349,1730998733.0 s
3953.42,1730998733.0 s
3951.492,1730998733.0 s
3949.563,1730998733.0 s
3947.635,1730998733.0 s
3945.706,1730998733.0 s
3943.778,1730998733.0 s
3941.849,1730998733.0 s
3939.921,1730998733.0 s
3937.992,1730998733.0 s
3936.064,1730998733.0 s
3934.135,1730998733.0 s
3932.207,1730998733.0 s
3930.278,1730998733.0 s
3928.35,1730998733.0 s
3926.421,1730998733.0 s
3924.493,1730998733.0 s
3922.564,1730998733.0 s
3920.636,1730998733.0 s
3918.707,1730998733.0 s
3916.779,1730998733.0 s
3914.85,1730998733.0 s
3912.922,1730998733.0 s
3910.993,1730998733.0 s
3909.065,1730998733.0 s
3907.136,1730998733.0 s
3905.208,1730998733.0 s
3903.279,1730998733.0 s
3901.351,1730998733.0 s
3899.422,1730998733.0 s
3897.494,1730998733.0 s
3895.565,1730998733.0 s
3893.637,1730998733.0 s
3891.708,1730998733.0 s
3889.78,1730998733.0 s
3887.851,1730998733.0 s
3885.923,1730998733.0 s
3883.994,1730998733.0 s
3882.066,1730998733.0 s
3880.137,1730998733.0 s
3878.209,1730998733.0 s
3876.28,1730998733.0 s
3874.352,1730998733.0 s
3872.423,1730998733.0 s
3870.495,1730998733.0 s
3868.566,1730998733.0 s
3866.638,1730998733.0 s
3864.709,1730998733.0 s
3862.781,1730998733.0 s
3860.852,1730998733.0 s
3858.924,1730998733.0 s
3856.995,1730998733.0 s
3855.067,1730998733.0 s
3853.138,1730998733.0 s
3851.21,1730998733.0 s
3849.281,1730998733.0 s
3847.353,1730998733.0 s
3845.424,1730998733.0 s
3843.496,1730998733.0 s
3841.567,1730998733.0 s
3839.639,1730998733.0 s
3837.71,1730998733.0 s
3835.782,1730998733.0 s
3833.853,1730998733.0 s
3831.925,1730998733.0 s
3829.996,1730998733.0 s
3828.068,1730998733.0 s
3826.139,1730998733.0 s
