X,Y
Coord: [float64] cm⁻¹ (size: 1),2.712273120880127
Coord: [float64] cm⁻¹ (size: 1),2.7186241149902344
Coord: [float64] cm⁻¹ (size: 1),2.7270214557647705
Coord: [float64] cm⁻¹ (size: 1),2.7368383407592773
Coord: [float64] cm⁻¹ (size: 1),2.7472896575927734
Coord: [float64] cm⁻¹ (size: 1),2.7546892166137695
Coord: [float64] cm⁻¹ (size: 1),2.761997699737549
Coord: [float64] cm⁻¹ (size: 1),2.768714666366577
Coord: [float64] cm⁻¹ (size: 1),2.7808001041412354
Coord: [float64] cm⁻¹ (size: 1),2.78963041305542
Coord: [float64] cm⁻¹ (size: 1),2.7962379455566406
Coord: [float64] cm⁻¹ (size: 1),2.805418014526367
Coord: [float64] cm⁻¹ (size: 1),2.8113369941711426
Coord: [float64] cm⁻¹ (size: 1),2.805004358291626
Coord: [float64] cm⁻¹ (size: 1),2.80855655670166
Coord: [float64] cm⁻¹ (size: 1),2.8208489418029785
Coord: [float64] cm⁻¹ (size: 1),2.8462705612182617
Coord: [float64] cm⁻¹ (size: 1),2.8381855487823486
Coord: [float64] cm⁻¹ (size: 1),2.834057569503784
Coord: [float64] cm⁻¹ (size: 1),2.850155830383301
Coord: [float64] cm⁻¹ (size: 1),2.850580930709839
Coord: [float64] cm⁻¹ (size: 1),2.8413925170898438
Coord: [float64] cm⁻¹ (size: 1),2.8735899925231934
Coord: [float64] cm⁻¹ (size: 1),2.921093463897705
Coord: [float64] cm⁻¹ (size: 1),2.8671047687530518
Coord: [float64] cm⁻¹ (size: 1),2.7548837661743164
Coord: [float64] cm⁻¹ (size: 1),2.781322956085205
Coord: [float64] cm⁻¹ (size: 1),2.8819284439086914
Coord: [float64] cm⁻¹ (size: 1),2.8763139247894287
Coord: [float64] cm⁻¹ (size: 1),2.84763240814209
Coord: [float64] cm⁻¹ (size: 1),2.8416032791137695
Coord: [float64] cm⁻¹ (size: 1),2.884652853012085
Coord: [float64] cm⁻¹ (size: 1),2.9211199283599854
Coord: [float64] cm⁻¹ (size: 1),2.858154773712158
Coord: [float64] cm⁻¹ (size: 1),2.8140664100646973
Coord: [float64] cm⁻¹ (size: 1),2.867382764816284
Coord: [float64] cm⁻¹ (size: 1),2.937145233154297
Coord: [float64] cm⁻¹ (size: 1),2.8231661319732666
Coord: [float64] cm⁻¹ (size: 1),2.619518995285034
Coord: [float64] cm⁻¹ (size: 1),2.8551511764526367
Coord: [float64] cm⁻¹ (size: 1),3.023066282272339
Coord: [float64] cm⁻¹ (size: 1),2.9239463806152344
Coord: [float64] cm⁻¹ (size: 1),2.8234894275665283
Coord: [float64] cm⁻¹ (size: 1),2.91111421585083
Coord: [float64] cm⁻¹ (size: 1),3.0325350761413574
Coord: [float64] cm⁻¹ (size: 1),3.0548253059387207
Coord: [float64] cm⁻¹ (size: 1),2.953425884246826
Coord: [float64] cm⁻¹ (size: 1),2.897569417953491
Coord: [float64] cm⁻¹ (size: 1),2.993711471557617
Coord: [float64] cm⁻¹ (size: 1),3.1073789596557617
Coord: [float64] cm⁻¹ (size: 1),3.0416293144226074
Coord: [float64] cm⁻¹ (size: 1),2.9655752182006836
Coord: [float64] cm⁻¹ (size: 1),3.0050418376922607
Coord: [float64] cm⁻¹ (size: 1),3.153529167175293
Coord: [float64] cm⁻¹ (size: 1),3.2427783012390137
Coord: [float64] cm⁻¹ (size: 1),3.264967441558838
Coord: [float64] cm⁻¹ (size: 1),3.241544008255005
Coord: [float64] cm⁻¹ (size: 1),3.2317066192626953
Coord: [float64] cm⁻¹ (size: 1),3.2600197792053223
Coord: [float64] cm⁻¹ (size: 1),3.252908706665039
Coord: [float64] cm⁻¹ (size: 1),3.198957681655884
Coord: [float64] cm⁻¹ (size: 1),3.240899085998535
Coord: [float64] cm⁻¹ (size: 1),3.2310519218444824
Coord: [float64] cm⁻¹ (size: 1),3.184438467025757
Coord: [float64] cm⁻¹ (size: 1),2.9911715984344482
Coord: [float64] cm⁻¹ (size: 1),2.854887008666992
Coord: [float64] cm⁻¹ (size: 1),2.861391067504883
Coord: [float64] cm⁻¹ (size: 1),3.008574962615967
Coord: [float64] cm⁻¹ (size: 1),3.0440948009490967
Coord: [float64] cm⁻¹ (size: 1),2.996783494949341
Coord: [float64] cm⁻¹ (size: 1),3.1426243782043457
Coord: [float64] cm⁻¹ (size: 1),3.217674732208252
Coord: [float64] cm⁻¹ (size: 1),3.245985984802246
Coord: [float64] cm⁻¹ (size: 1),3.2933900356292725
Coord: [float64] cm⁻¹ (size: 1),3.2221901416778564
Coord: [float64] cm⁻¹ (size: 1),3.1465487480163574
Coord: [float64] cm⁻¹ (size: 1),3.272765636444092
Coord: [float64] cm⁻¹ (size: 1),3.3240509033203125
Coord: [float64] cm⁻¹ (size: 1),3.352398157119751
Coord: [float64] cm⁻¹ (size: 1),3.3552780151367188
Coord: [float64] cm⁻¹ (size: 1),3.203598976135254
Coord: [float64] cm⁻¹ (size: 1),3.1829376220703125
Coord: [float64] cm⁻¹ (size: 1),3.3666296005249023
Coord: [float64] cm⁻¹ (size: 1),3.3144004344940186
Coord: [float64] cm⁻¹ (size: 1),3.1220479011535645
Coord: [float64] cm⁻¹ (size: 1),3.1146161556243896
Coord: [float64] cm⁻¹ (size: 1),3.279819965362549
Coord: [float64] cm⁻¹ (size: 1),3.4798390865325928
Coord: [float64] cm⁻¹ (size: 1),3.504957437515259
Coord: [float64] cm⁻¹ (size: 1),3.4252445697784424
Coord: [float64] cm⁻¹ (size: 1),3.315300464630127
Coord: [float64] cm⁻¹ (size: 1),3.222073554992676
Coord: [float64] cm⁻¹ (size: 1),3.412051200866699
Coord: [float64] cm⁻¹ (size: 1),3.591979503631592
Coord: [float64] cm⁻¹ (size: 1),3.6118109226226807
Coord: [float64] cm⁻¹ (size: 1),3.5274534225463867
Coord: [float64] cm⁻¹ (size: 1),3.371725082397461
Coord: [float64] cm⁻¹ (size: 1),3.479781150817871
Coord: [float64] cm⁻¹ (size: 1),3.5717225074768066
Coord: [float64] cm⁻¹ (size: 1),3.526355743408203
Coord: [float64] cm⁻¹ (size: 1),3.555351972579956
Coord: [float64] cm⁻¹ (size: 1),3.550783634185791
Coord: [float64] cm⁻¹ (size: 1),3.629635810852051
Coord: [float64] cm⁻¹ (size: 1),3.7135863304138184
Coord: [float64] cm⁻¹ (size: 1),3.719076633453369
Coord: [float64] cm⁻¹ (size: 1),3.715428113937378
Coord: [float64] cm⁻¹ (size: 1),3.6945457458496094
Coord: [float64] cm⁻¹ (size: 1),3.6641845703125
Coord: [float64] cm⁻¹ (size: 1),3.7601261138916016
Coord: [float64] cm⁻¹ (size: 1),3.8290228843688965
Coord: [float64] cm⁻¹ (size: 1),3.847705841064453
Coord: [float64] cm⁻¹ (size: 1),3.822360038757324
Coord: [float64] cm⁻¹ (size: 1),3.7435965538024902
Coord: [float64] cm⁻¹ (size: 1),3.782864570617676
Coord: [float64] cm⁻¹ (size: 1),3.877188205718994
